Round ID,Company ID,Organization Name,Organization Name URL,Organization Founded Year,Investor ID,Investor Name,Investor URL,Investor Founded Date,Investor Longitude,Investor Latitude,Company Longitude,Company Latitude,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits,Lead,Specific VC Binary,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Target VC,Distance km,Local Investor,Announced Date,Investment Year,Investor Founded Year,Investor Age at Investment,num_investors,Syndication Role,Seed Investor Same City,Seed Lead Investor Same City,Country,Headquarters Country,Homecountry Investor,Homecountry Lead Investor,Seed Investor Within 50km,Seed Lead Investor Within 50km,Investor Distance to Hub,Hub_VC_Flag,Hub_Lead_VC_Flag
000031,000384,Strada CRM,https://www.crunchbase.com/organization/strada-crm,2018,000207,Invento Capital,https://www.crunchbase.com/organization/invento-capital,2017-06-01,19.0215852,50.2598987,22.5701022,51.250559,10,9.0,4,0.0,True,True,False,False,False,False,False,272.8106783161748,False,2022-11-01,2022,2017.0,5.0,1,Lead,False,False,Poland,,False,False,False,False,259.16421899577966,False,False
000032,000060,BLISKO,https://www.crunchbase.com/organization/the-village-network-6463,2019,000137,Movens Capital,https://www.crunchbase.com/organization/movens-capital,2018-04-04,21.0067249,52.2319581,21.0067249,52.2319581,33,24.0,14,0.0,True,False,False,False,False,False,False,0.0,True,2021-07-25,2021,2018.0,3.0,1,Lead,True,True,Poland,,False,False,True,True,0.0,True,True
000033,000475,Miesna Paczka,https://www.crunchbase.com/organization/stealth-mode-startup-0461,2019,000164,CofounderZone,https://www.crunchbase.com/organization/cofounderzone,2019-01-01,21.0067249,52.2319581,23.1591679,53.132398,20,17.0,18,0.0,True,False,False,True,False,False,False,176.27752830162905,False,2021-04-27,2021,2019.0,2.0,2,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000033,000475,Miesna Paczka,https://www.crunchbase.com/organization/stealth-mode-startup-0461,2019,000138,LT Capital,https://www.crunchbase.com/organization/lt-capital-5861,2018-01-01,19.9368564,50.0619474,23.1591679,53.132398,33,31.0,13,1.0,False,True,False,False,False,False,False,407.46695099220995,False,2021-04-27,2021,2018.0,3.0,2,Co-Investor,False,False,Poland,,False,False,False,False,252.56392777356123,False,False
000034,000082,GGPredict,https://www.crunchbase.com/organization/ggpredict-io,2019,000020,ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,2008-12-01,-74.0060152,40.7127281,21.0067249,52.2319581,374,157.0,66,35.0,True,False,False,False,True,False,False,6853.761792057567,False,2021-08-01,2021,2008.0,13.0,2,Lead,False,False,United States,Poland,False,False,False,False,5114.884828999828,False,False
000034,000082,GGPredict,https://www.crunchbase.com/organization/ggpredict-io,2019,000193,TDJ Pitango Ventures,https://www.crunchbase.com/organization/tdj-pitango-ventures,2017-06-01,21.0067249,52.2319581,21.0067249,52.2319581,13,7.0,7,1.0,False,False,False,False,False,False,False,0.0,True,2021-08-01,2021,2017.0,4.0,2,Co-Investor,True,False,Poland,Poland,True,False,True,False,0.0,True,False
000035,000334,Playstrict,https://www.crunchbase.com/organization/playstrict,2018,000129,Carlson ASI EVIG Alfa VC Fund,https://www.crunchbase.com/organization/evigalfa,2019-01-01,16.9335199,52.4082663,22.0047174,50.0374531,39,39.0,35,0.0,True,False,False,False,False,False,False,440.5332806157655,False,2022-09-08,2022,2019.0,3.0,1,Lead,False,False,Poland,,False,False,False,False,239.7276972180316,False,False
000036,000249,CleverClaim,https://www.crunchbase.com/organization/cleverclaim,2019,000086,Demium Capital,https://www.crunchbase.com/organization/think-bigger-capital,2020-01-17,-0.3763353,39.4697065,19.9368564,50.0619474,76,65.0,50,0.0,True,False,False,False,False,False,False,1979.0392577940183,False,2022-10-27,2022,2020.0,2.0,1,Lead,False,False,Spain,,False,False,False,False,302.54168591361116,False,False
000037,000223,Beboq Robotics,https://www.crunchbase.com/organization/beboq-robotics,2019,000160,Shape VC,https://www.crunchbase.com/organization/shape-vc,2018-01-01,19.9368564,50.0619474,19.0215852,50.2598987,21,21.0,18,0.0,True,False,False,False,False,False,False,68.81420287676613,True,2022-06-01,2022,2018.0,4.0,1,Lead,False,False,Poland,,False,False,False,False,252.56392777356123,False,False
000039,000579,Higgsone,https://www.crunchbase.com/organization/higgsone,2018,000160,Shape VC,https://www.crunchbase.com/organization/shape-vc,2018-01-01,19.9368564,50.0619474,16.9335199,52.4082663,21,21.0,18,0.0,True,False,False,False,False,False,False,334.2898444380103,False,2021-03-22,2021,2018.0,3.0,1,Lead,False,False,Poland,,False,False,False,False,252.56392777356123,False,False
